Date,Open,High,Low,Close,Adj Close,Volume
2023-04-14,100.669998,101.430000,100.419998,101.245003,101.245003,19608
2023-04-17,101.285004,101.925003,101.224998,101.795998,101.795998,12810
2023-04-18,101.830002,101.855003,101.334999,101.447998,101.447998,10907
2023-04-19,101.430000,101.940002,101.364998,101.667999,101.667999,11478
2023-04-20,101.695000,101.845001,101.349998,101.566002,101.566002,10868
2023-04-21,101.519997,101.855003,101.370003,101.552002,101.552002,10505
2023-04-24,101.449997,101.635002,101.055000,101.072998,101.072998,11947
2023-04-25,101.000000,101.675003,100.930000,101.592003,101.592003,12844
2023-04-26,101.570000,101.629997,100.739998,101.205002,101.205002,16271
2023-04-27,101.160004,101.559998,100.930000,101.251999,101.251999,11325
2023-04-28,101.209999,102.040001,101.169998,101.403000,101.403000,19700
2023-05-01,101.404999,101.959999,101.389999,101.919998,101.919998,14669
2023-05-02,101.930000,102.184998,101.639999,101.724998,101.724998,16722
2023-05-03,101.650002,101.699997,100.834999,101.114998,101.114998,17190
2023-05-04,101.025002,101.415001,100.519997,101.183998,101.183998,21788
2023-05-05,101.135002,101.555000,100.900002,100.999001,100.999001,13391
2023-05-08,101.044998,101.199997,100.824997,101.154999,101.154999,7546
2023-05-09,101.209999,101.635002,101.154999,101.399002,101.399002,10443
2023-05-10,101.415001,101.605003,101.000000,101.268997,101.268997,13693
2023-05-11,101.220001,101.970001,101.114998,101.873001,101.873001,16113
2023-05-12,101.904999,102.544998,101.754997,102.509003,102.509003,16124
2023-05-15,102.514999,102.584999,102.195000,102.271004,102.271004,12266
2023-05-16,102.275002,102.535004,102.040001,102.403999,102.403999,10186
2023-05-17,102.440002,102.959999,102.375000,102.725998,102.725998,9980
2023-05-18,102.739998,103.489998,102.650002,103.455002,103.455002,13981
2023-05-19,103.389999,103.489998,102.870003,103.079002,103.079002,18438
2023-05-22,103.019997,103.254997,102.845001,103.079002,103.079002,9759
2023-05-23,103.160004,103.544998,103.055000,103.385002,103.385002,14057
2023-05-24,103.445000,103.830002,103.260002,103.799004,103.799004,15307
2023-05-25,103.775002,104.245003,103.775002,104.175003,104.175003,15068
2023-05-26,104.165001,104.339996,103.714996,104.136002,104.136002,15660
2023-05-30,104.230003,104.445000,103.785004,104.078003,104.078003,11544
2023-05-31,103.989998,104.614998,103.934998,104.245003,104.245003,16960
2023-06-01,104.105003,104.440002,103.434998,103.501999,103.501999,16359
2023-06-02,103.485001,104.035004,103.315002,103.952003,103.952003,12818
2023-06-05,103.974998,104.360001,103.870003,103.935997,103.935997,12965
2023-06-06,103.949997,104.315002,103.754997,104.073997,104.073997,10574
2023-06-07,104.035004,104.250000,103.565002,104.055000,104.055000,12567
2023-06-08,104.004997,104.044998,103.269997,103.316002,103.316002,12491
2023-06-09,103.300003,103.584999,103.279999,103.532997,103.532997,11961
2023-06-12,103.544998,103.739998,103.230003,103.630997,103.630997,13912
2023-06-13,103.570000,103.610001,103.025002,103.318001,103.318001,20140
2023-06-14,103.275002,103.385002,102.635002,102.916000,102.916000,19725
2023-06-15,102.919998,103.360001,102.089996,102.108002,102.108002,10200
2023-06-16,102.110001,102.254997,102.050003,102.258003,102.258003,16386
2023-06-20,102.074997,102.375000,101.919998,102.125000,102.125000,13516
2023-06-21,102.089996,102.305000,101.620003,101.676003,101.676003,12795
2023-06-22,101.665001,102.084999,101.485001,101.994003,101.994003,13595
2023-06-23,102.004997,102.785004,101.985001,102.542000,102.542000,13130
2023-06-26,102.510002,102.510002,102.250000,102.334000,102.334000,8362
2023-06-27,102.385002,102.445000,101.959999,102.126999,102.126999,10819
2023-06-28,102.154999,102.815002,102.120003,102.547997,102.547997,13319
2023-06-29,102.625000,103.110001,102.455002,103.008003,103.008003,13451
2023-06-30,103.025002,103.230003,102.430000,102.586998,102.586998,12821
2023-07-03,102.644997,102.955002,102.415001,102.653999,102.653999,9269
2023-07-05,102.730003,103.055000,102.629997,103.035004,103.035004,11659
2023-07-06,103.025002,103.275002,102.605003,102.866997,102.866997,21210
2023-07-07,102.785004,102.875000,101.910004,101.949997,101.949997,19418
2023-07-10,101.970001,102.235001,101.610001,101.641998,101.641998,13109
2023-07-11,101.610001,101.650002,101.315002,101.403000,101.403000,11730
2023-07-12,101.294998,101.294998,100.180000,100.193001,100.193001,21382
2023-07-13,100.205002,100.294998,99.425003,99.456001,99.456001,25270
2023-07-14,99.464996,99.705002,99.260002,99.605003,99.605003,17931
